Date,Close,Open,High,Low,Volume,log_return
01/31/2012,6.279537112234795,6.275536436573315,6.284715263685063,6.271121479438147,1000000.0,0.005902157657748739
02/01/2012,6.236994478868731,6.235253890020198,6.259014634778252,6.206361722380193,1000000.0,-0.006797857199325986
02/02/2012,6.22173710297013,6.222521445312751,6.227274776439493,6.19009890029279,1000000.0,-0.0024492675559596097
02/03/2012,6.257590839334689,6.274387350837113,6.2922528958991615,6.234881517849546,1000000.0,0.005746116326357003
02/07/2012,6.302340304345493,6.301258497044157,6.311479912370325,6.296305383371478,1000000.0,0.0071257802055445995
02/08/2012,6.232789878560307,6.231507386355298,6.303044566998209,6.205119625623142,1000000.0,-0.011096995163399298
02/09/2012,6.223978036166325,6.236035232169022,6.229788666152265,6.2194212836311245,1000000.0,-0.0014147881575923397
02/10/2012,6.222733699453273,6.237503303308436,6.228353629764606,6.202782563326369,1000000.0,-0.00019994625787573577
02/13/2012,6.232597111530549,6.238599983623382,6.242294611833083,6.208046787081165,1000000.0,0.0015838060487955302
02/14/2012,6.290419406448654,6.28960249511159,6.325236220450599,6.272931546252358,1000000.0,0.009234629012976512
02/15/2012,6.169921479822128,6.175567626565904,6.230154204647418,6.079348063106801,1000000.0,-0.019341635066687873
02/16/2012,6.162554115541079,6.175506269195421,6.169902446884094,6.148838903380827,1000000.0,-0.001194790956690713
02/17/2012,6.183254135688777,6.179676847991686,6.211779274224533,6.17387334682777,1000000.0,0.0033533713021093358
02/20/2012,6.165525639974402,6.158880845532509,6.202766351633466,6.160754273043894,1000000.0,-0.002871297118651664
02/21/2012,6.181945937191268,6.180446225429834,6.1841806797243235,6.178515404327897,1000000.0,0.002659703534289188
02/22/2012,6.067592753777013,6.074424653447455,6.088884605103873,6.036433270169352,1000000.0,-0.018671152988506058
02/23/2012,6.08802612662251,6.080783311265613,6.097186980588015,6.079614129086926,1000000.0,0.003361966559295162
02/24/2012,6.154747506495247,6.15709292431293,6.175905141072824,6.0940499492487925,1000000.0,0.010899824246835521
02/27/2012,6.109085333863247,6.123613761537803,6.113528825939577,6.091299492197752,1000000.0,-0.007446674173521895
